Driver,GP,StartType,StartPos,FinishPos,Delta,Stops,FirstPitLap,Status,Notes
PIA,Bahrain,Grid,1,1,0,2,14.0,Finished,
RUS,Bahrain,Grid,3,2,+1,2,13.0,Finished,
NOR,Bahrain,Grid,6,3,+3,2,10.0,Finished,
LEC,Bahrain,Grid,2,4,-2,2,17.0,Finished,
HAM,Bahrain,Grid,9,5,+4,2,17.0,Finished,
VER,Bahrain,Grid,7,6,+1,2,10.0,Finished,
GAS,Bahrain,Grid,4,7,-3,2,10.0,Finished,
OCO,Bahrain,Grid,14,8,+6,2,8.0,Finished,
TSU,Bahrain,Grid,10,9,+1,2,11.0,Finished,
BEA,Bahrain,Grid,20,10,+10,2,14.0,Finished,
ANT,Bahrain,Grid,5,11,-6,3,12.0,Finished,
ALB,Bahrain,Grid,15,12,+3,2,16.0,Finished,
HAD,Bahrain,Grid,12,13,-1,2,6.0,Finished,
DOO,Bahrain,Grid,11,14,-3,2,9.0,Finished,
ALO,Bahrain,Grid,13,15,-2,2,16.0,Finished,
LAW,Bahrain,Grid,17,16,+1,2,14.0,Finished,
STR,Bahrain,Grid,19,17,+2,2,12.0,Finished,
BOR,Bahrain,Grid,18,18,0,2,13.0,Finished,
SAI,Bahrain,Grid,8,Ritirato,NA,4,14.0,DNF,
HUL,Bahrain,Grid,16,Squalificato,NA,2,5.0,DSQ,
VER,Monza,Grid,1,1,0,1,37.0,Finished,
NOR,Monza,Grid,2,2,0,1,46.0,Finished,
PIA,Monza,Grid,3,3,0,1,45.0,Finished,
LEC,Monza,Grid,4,4,0,1,33.0,Finished,
RUS,Monza,Grid,5,5,0,1,27.0,Finished,
HAM,Monza,Grid,10,6,+4,1,38.0,Finished,
ALB,Monza,Grid,14,7,+7,1,41.0,Finished,
BOR,Monza,Grid,7,8,-1,1,20.0,Finished,
ANT,Monza,Grid,6,9,-3,1,28.0,Finished,
HAD,Monza,Grid,19,10,+9,1,32.0,Finished,
SAI,Monza,Grid,13,11,+2,1,30.0,Finished,
BEA,Monza,Grid,11,12,-1,1,18.0,Finished,
TSU,Monza,Grid,9,13,-4,1,19.0,Finished,
LAW,Monza,Grid,18,14,+4,1,9.0,Finished,
OCO,Monza,Grid,15,15,0,1,51.0,Finished,
GAS,Monza,Grid,20,16,+4,1,49.0,Finished,
COL,Monza,Grid,17,17,0,1,33.0,Finished,
STR,Monza,Grid,16,18,-2,1,49.0,Finished,
ALO,Monza,Grid,8,Ritirato,NA,2,20.0,DNF,
HUL,Monza,Grid,12,DNS,NA,0,,DNS,
NOR,Silverstone,Grid,3,1,+2,2,11.0,Finished,
PIA,Silverstone,Grid,2,2,0,2,11.0,Finished,
HUL,Silverstone,Grid,19,3,+16,2,9.0,Finished,
HAM,Silverstone,Grid,5,4,+1,2,11.0,Finished,
VER,Silverstone,Grid,1,5,-4,2,11.0,Finished,
GAS,Silverstone,Grid,8,6,+2,2,11.0,Finished,
STR,Silverstone,Grid,17,7,+10,3,6.0,Finished,
ALB,Silverstone,Grid,13,8,+5,2,12.0,Finished,
ALO,Silverstone,Grid,7,9,-2,2,11.0,Finished,
RUS,Silverstone,Grid,4,10,-6,2,10.0,Finished,
BEA,Silverstone,Grid,18,11,+7,2,10.0,Finished,
SAI,Silverstone,Grid,9,12,-3,2,11.0,Finished,
OCO,Silverstone,Grid,14,13,+1,2,18.0,Finished,
LEC,Silverstone,Grid,6,14,-8,2,10.0,Finished,
TSU,Silverstone,Grid,11,15,-4,2,11.0,Finished,
ANT,Silverstone,Grid,10,Ritirato,NA,4,2.0,DNF,
HAD,Silverstone,Grid,12,Ritirato,NA,1,10.0,DNF,
BOR,Silverstone,Grid,16,Ritirato,NA,0,,DNF,
LAW,Silverstone,Grid,15,Ritirato,NA,0,,DNF,
COL,Silverstone,Grid,20,DNS,NA,0,,DNS,
NOR,Monaco,Grid,1,1,0,2,19.0,Finished,
LEC,Monaco,Grid,2,2,0,2,22.0,Finished,
PIA,Monaco,Grid,3,3,0,2,20.0,Finished,
VER,Monaco,Grid,4,4,0,2,28.0,Finished,
HAM,Monaco,Grid,7,5,+2,2,18.0,Finished,
HAD,Monaco,Grid,5,6,-1,2,14.0,Finished,
OCO,Monaco,Grid,8,7,+1,2,16.0,Finished,
LAW,Monaco,Grid,9,8,+1,2,31.0,Finished,
ALB,Monaco,Grid,10,9,+1,2,32.0,Finished,
SAI,Monaco,Grid,11,10,+1,2,48.0,Finished,
RUS,Monaco,Grid,14,11,+3,3,53.0,Finished,
BEA,Monaco,Grid,20,12,+8,2,1.0,Finished,
COL,Monaco,Grid,18,13,+5,2,13.0,Finished,
BOR,Monaco,Grid,16,14,+2,3,1.0,Finished,
STR,Monaco,Grid,19,15,+4,2,17.0,Finished,
HUL,Monaco,Grid,13,16,-3,2,12.0,Finished,
TSU,Monaco,Grid,12,17,-5,2,1.0,Finished,
ANT,Monaco,Grid,15,18,-3,2,69.0,Finished,
ALO,Monaco,Grid,6,Ritirato,NA,1,16.0,DNF,
GAS,Monaco,Grid,17,Ritirato,NA,2,1.0,DNF,
